,Elab,x,Q2,obs,target,lepton beam,current,units,value,stat_u,sys_u,*norm_c
288,4.223,0.386,1.425,F2,n/d,e_minus,NC,1,0.364,0.03,0.006,0.01638
289,4.223,0.38,1.427,F2,n/d,e_minus,NC,1,0.364,0.03,0.005,0.01638
290,4.223,0.373,1.426,F2,n/d,e_minus,NC,1,0.357,0.03,0.005,0.016065
291,4.223,0.366,1.428,F2,n/d,e_minus,NC,1,0.383,0.03,0.005,0.017235
292,4.223,0.358,1.43,F2,n/d,e_minus,NC,1,0.351,0.029,0.005,0.015795
293,4.223,0.352,1.429,F2,n/d,e_minus,NC,1,0.405,0.03,0.005,0.018225
294,4.223,0.346,1.43,F2,n/d,e_minus,NC,1,0.412,0.03,0.005,0.01854
295,4.223,0.34,1.43,F2,n/d,e_minus,NC,1,0.394,0.029,0.005,0.01773
296,4.223,0.332,1.43,F2,n/d,e_minus,NC,1,0.386,0.029,0.005,0.01737
297,4.223,0.326,1.429,F2,n/d,e_minus,NC,1,0.413,0.03,0.005,0.018585
298,4.223,0.321,1.428,F2,n/d,e_minus,NC,1,0.421,0.03,0.005,0.018945
299,4.223,0.315,1.428,F2,n/d,e_minus,NC,1,0.419,0.029,0.005,0.018855
300,4.223,0.311,1.428,F2,n/d,e_minus,NC,1,0.433,0.03,0.005,0.019485
301,4.223,0.305,1.428,F2,n/d,e_minus,NC,1,0.464,0.03,0.005,0.02088
302,4.223,0.299,1.428,F2,n/d,e_minus,NC,1,0.358,0.027,0.004,0.01611
303,4.223,0.822,1.699,F2,n/d,e_minus,NC,1,0.152,0.041,0.019,0.00684
304,4.223,0.805,1.696,F2,n/d,e_minus,NC,1,0.315,0.066,0.037,0.014175
305,4.223,0.786,1.697,F2,n/d,e_minus,NC,1,0.398,0.074,0.042,0.01791
306,4.223,0.769,1.696,F2,n/d,e_minus,NC,1,0.509,0.078,0.05,0.022905
307,4.223,0.754,1.694,F2,n/d,e_minus,NC,1,0.545,0.078,0.05,0.024525
308,4.223,0.74,1.695,F2,n/d,e_minus,NC,1,0.799,0.083,0.068,0.035955
309,4.223,0.724,1.695,F2,n/d,e_minus,NC,1,0.58,0.069,0.046,0.0261
310,4.223,0.71,1.695,F2,n/d,e_minus,NC,1,0.485,0.06,0.035,0.021825
311,4.223,0.695,1.696,F2,n/d,e_minus,NC,1,0.536,0.062,0.037,0.02412
312,4.223,0.679,1.695,F2,n/d,e_minus,NC,1,0.422,0.054,0.027,0.01899
313,4.223,0.665,1.698,F2,n/d,e_minus,NC,1,0.412,0.053,0.024,0.01854
314,4.223,0.653,1.697,F2,n/d,e_minus,NC,1,0.392,0.053,0.022,0.01764
315,4.223,0.638,1.697,F2,n/d,e_minus,NC,1,0.375,0.051,0.02,0.016875
316,4.223,0.628,1.699,F2,n/d,e_minus,NC,1,0.388,0.05,0.019,0.01746
317,4.223,0.612,1.698,F2,n/d,e_minus,NC,1,0.357,0.049,0.017,0.016065
318,4.223,0.604,1.7,F2,n/d,e_minus,NC,1,0.419,0.051,0.019,0.018855
319,4.223,0.59,1.7,F2,n/d,e_minus,NC,1,0.446,0.049,0.019,0.02007
320,4.223,0.581,1.701,F2,n/d,e_minus,NC,1,0.293,0.043,0.012,0.013185
321,4.223,0.568,1.702,F2,n/d,e_minus,NC,1,0.346,0.043,0.013,0.01557
322,4.223,0.555,1.703,F2,n/d,e_minus,NC,1,0.45,0.047,0.016,0.02025
323,4.223,0.546,1.703,F2,n/d,e_minus,NC,1,0.456,0.046,0.015,0.02052
324,4.223,0.535,1.703,F2,n/d,e_minus,NC,1,0.414,0.042,0.013,0.01863
325,4.223,0.527,1.704,F2,n/d,e_minus,NC,1,0.39,0.04,0.012,0.01755
326,4.223,0.517,1.704,F2,n/d,e_minus,NC,1,0.386,0.04,0.011,0.01737
327,4.223,0.507,1.705,F2,n/d,e_minus,NC,1,0.395,0.04,0.011,0.017775
328,4.223,0.497,1.705,F2,n/d,e_minus,NC,1,0.387,0.039,0.01,0.017415
329,4.223,0.486,1.704,F2,n/d,e_minus,NC,1,0.375,0.037,0.01,0.016875
330,4.223,0.478,1.704,F2,n/d,e_minus,NC,1,0.351,0.036,0.009,0.015795
331,4.223,0.47,1.704,F2,n/d,e_minus,NC,1,0.439,0.038,0.01,0.019755
332,4.223,0.46,1.704,F2,n/d,e_minus,NC,1,0.456,0.039,0.01,0.02052
333,4.223,0.452,1.704,F2,n/d,e_minus,NC,1,0.425,0.037,0.009,0.019125
334,4.223,0.444,1.702,F2,n/d,e_minus,NC,1,0.384,0.034,0.008,0.01728
335,4.223,0.436,1.704,F2,n/d,e_minus,NC,1,0.418,0.035,0.008,0.01881
336,4.223,0.429,1.704,F2,n/d,e_minus,NC,1,0.385,0.033,0.007,0.017325
337,4.223,0.421,1.704,F2,n/d,e_minus,NC,1,0.335,0.031,0.006,0.015075
338,4.223,0.413,1.703,F2,n/d,e_minus,NC,1,0.356,0.032,0.006,0.01602
339,4.223,0.406,1.704,F2,n/d,e_minus,NC,1,0.396,0.033,0.007,0.01782
340,4.223,0.401,1.704,F2,n/d,e_minus,NC,1,0.345,0.031,0.006,0.015525
341,4.223,0.392,1.703,F2,n/d,e_minus,NC,1,0.386,0.032,0.006,0.01737
342,4.223,0.385,1.704,F2,n/d,e_minus,NC,1,0.397,0.033,0.006,0.017865
343,4.223,0.379,1.704,F2,n/d,e_minus,NC,1,0.398,0.032,0.006,0.01791
344,4.223,0.372,1.702,F2,n/d,e_minus,NC,1,0.396,0.032,0.006,0.01782
345,4.223,0.368,1.701,F2,n/d,e_minus,NC,1,0.461,0.035,0.007,0.020745
346,4.223,0.847,2.03,F2,n/d,e_minus,NC,1,0.105,0.048,0.015,0.004725
347,4.223,0.831,2.035,F2,n/d,e_minus,NC,1,0.189,0.071,0.025,0.008505
348,4.223,0.816,2.034,F2,n/d,e_minus,NC,1,0.308,0.089,0.038,0.01386
349,4.223,0.801,2.035,F2,n/d,e_minus,NC,1,0.511,0.102,0.059,0.022995
350,4.223,0.789,2.032,F2,n/d,e_minus,NC,1,0.628,0.107,0.068,0.02826
351,4.223,0.771,2.03,F2,n/d,e_minus,NC,1,0.541,0.089,0.054,0.024345
352,4.223,0.759,2.032,F2,n/d,e_minus,NC,1,0.669,0.094,0.063,0.030105
353,4.223,0.745,2.034,F2,n/d,e_minus,NC,1,0.618,0.084,0.054,0.02781
354,4.223,0.73,2.031,F2,n/d,e_minus,NC,1,0.619,0.083,0.05,0.027855
355,4.223,0.721,2.032,F2,n/d,e_minus,NC,1,0.448,0.07,0.035,0.02016
356,4.223,0.706,2.031,F2,n/d,e_minus,NC,1,0.361,0.06,0.026,0.016245
357,4.223,0.693,2.03,F2,n/d,e_minus,NC,1,0.385,0.063,0.026,0.017325
358,4.223,0.678,2.032,F2,n/d,e_minus,NC,1,0.299,0.056,0.019,0.013455
359,4.223,0.668,2.032,F2,n/d,e_minus,NC,1,0.296,0.055,0.018,0.01332
360,4.223,0.654,2.03,F2,n/d,e_minus,NC,1,0.341,0.056,0.019,0.015345
361,4.223,0.642,2.035,F2,n/d,e_minus,NC,1,0.296,0.054,0.016,0.01332
362,4.223,0.633,2.031,F2,n/d,e_minus,NC,1,0.358,0.057,0.018,0.01611
363,4.223,0.622,2.03,F2,n/d,e_minus,NC,1,0.427,0.059,0.021,0.019215
364,4.223,0.611,2.031,F2,n/d,e_minus,NC,1,0.357,0.054,0.016,0.016065
365,4.223,0.6,2.032,F2,n/d,e_minus,NC,1,0.49,0.058,0.022,0.02205
366,4.223,0.589,2.032,F2,n/d,e_minus,NC,1,0.392,0.053,0.016,0.01764
367,4.223,0.58,2.033,F2,n/d,e_minus,NC,1,0.48,0.054,0.019,0.0216
368,4.223,0.57,2.034,F2,n/d,e_minus,NC,1,0.388,0.05,0.015,0.01746
369,4.223,0.559,2.034,F2,n/d,e_minus,NC,1,0.412,0.05,0.015,0.01854
370,4.223,0.548,2.031,F2,n/d,e_minus,NC,1,0.424,0.05,0.014,0.01908
371,4.223,0.539,2.034,F2,n/d,e_minus,NC,1,0.404,0.048,0.013,0.01818
372,4.223,0.53,2.033,F2,n/d,e_minus,NC,1,0.311,0.042,0.01,0.013995
373,4.223,0.522,2.033,F2,n/d,e_minus,NC,1,0.439,0.047,0.013,0.019755
374,4.223,0.513,2.031,F2,n/d,e_minus,NC,1,0.476,0.048,0.014,0.02142
375,4.223,0.506,2.03,F2,n/d,e_minus,NC,1,0.403,0.045,0.011,0.018135
376,4.223,0.494,2.03,F2,n/d,e_minus,NC,1,0.461,0.046,0.012,0.020745
377,4.223,0.487,2.03,F2,n/d,e_minus,NC,1,0.397,0.043,0.01,0.017865
378,4.223,0.479,2.03,F2,n/d,e_minus,NC,1,0.318,0.039,0.008,0.01431
379,4.223,0.472,2.031,F2,n/d,e_minus,NC,1,0.368,0.041,0.009,0.01656
380,4.223,0.465,2.029,F2,n/d,e_minus,NC,1,0.413,0.042,0.01,0.018585
381,4.223,0.456,2.031,F2,n/d,e_minus,NC,1,0.409,0.042,0.009,0.018405
382,4.223,0.449,2.03,F2,n/d,e_minus,NC,1,0.396,0.041,0.008,0.01782
383,4.223,0.867,2.42,F2,n/d,e_minus,NC,1,0.095,0.052,0.015,0.004275
384,4.223,0.86,2.421,F2,n/d,e_minus,NC,1,0.073,0.082,0.011,0.003285
385,4.223,0.84,2.42,F2,n/d,e_minus,NC,1,0.426,0.124,0.06,0.01917
386,4.223,0.829,2.417,F2,n/d,e_minus,NC,1,0.586,0.14,0.076,0.02637
387,4.223,0.814,2.417,F2,n/d,e_minus,NC,1,0.58,0.129,0.07,0.0261
388,4.223,0.801,2.414,F2,n/d,e_minus,NC,1,0.858,0.148,0.098,0.03861
389,4.223,0.79,2.419,F2,n/d,e_minus,NC,1,0.566,0.115,0.061,0.02547
390,4.223,0.778,2.417,F2,n/d,e_minus,NC,1,0.584,0.108,0.06,0.02628
