,x,Q2,y,sigma_p(b/GeV2) !!,Elab,obs,target,curent,lepton beam,units,%dE,%dE',%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,R,F2,dFstat,dFsyst,%*norm_c,*epsilon,value,%*dST_u
16,0.0364,4.26,0.705,9.547e-08,90,sig_r,p,mu,nc,1,0.5,0.1,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,2.4,0.4,0.108,0.3878,0.0317,0.0101,2.5,0.542392684482592,0.370501957612457,8.17431665807117
17,0.0495,1.33,0.168,8.974e-07,90,sig_r,p,mu,nc,1,1.6,-1.0,1.6,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.9,0.1,0.1,0.117,0.3331,0.0098,0.0071,2.5,0.983225140208657,0.33251433225196,2.94205944160913
18,0.0493,1.76,0.221,4.879e-07,90,sig_r,p,mu,nc,1,1.3,-0.7,1.3,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.4,0.1,0.1,0.117,0.3314,0.0058,0.0051,2.5,0.969471175281982,0.330339842553467,1.75015087507544
19,0.0494,2.48,0.309,2.378e-07,90,sig_r,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.2,0.2,0.1,0.117,0.3456,0.004,0.0038,2.5,0.93517530915144,0.343252777290966,1.15740740740741
20,0.0501,3.41,0.415,1.22e-07,90,sig_r,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.2,0.6,0.2,0.117,0.3721,0.0057,0.0038,2.5,0.871393457303353,0.367086804414746,1.53184627788229
21,0.0509,4.39,0.526,6.941e-08,90,sig_r,p,mu,nc,1,0.6,-0.1,0.6,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.3,1.1,0.3,0.117,0.3893,0.0122,0.0053,2.5,0.77368981833281,0.380070746224289,3.13382995119445
22,0.0526,5.31,0.608,4.373e-08,90,sig_r,p,mu,nc,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7,0.3,0.117,0.3895,0.0286,0.0072,2.5,0.679096885535227,0.37640709376687,7.34274711168164
23,0.0701,1.35,0.12,6.06e-07,90,sig_r,p,mu,nc,1,2.1,-1.5,2.1,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,1.1,0.1,0.1,0.113,0.3156,0.0139,0.0089,2.5,0.991791037766853,0.315336647842376,4.404309252218
24,0.0699,1.77,0.156,3.741e-07,90,sig_r,p,mu,nc,1,1.7,-1.1,1.7,0.0,0.0,0.0,-1.1,0.0,0.0,0.0,0.6,0.1,0.1,0.113,0.3446,0.0084,0.007,2.5,0.985661136678224,0.344097972362298,2.4376088218224
25,0.0694,2.48,0.219,1.839e-07,90,sig_r,p,mu,nc,1,1.3,-0.7,1.3,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.3,0.1,0.1,0.113,0.3503,0.0053,0.0052,2.5,0.970022513779224,0.349233378472032,1.5129888666857
26,0.0696,3.45,0.303,9.63e-08,90,sig_r,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.3,0.3,0.1,0.113,0.3841,0.0065,0.0044,2.5,0.937931653619736,0.381678835088304,1.69226763863577
27,0.0703,4.42,0.382,5.433e-08,90,sig_r,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.3,0.6,0.1,0.113,0.3832,0.0098,0.0042,2.5,0.894031244446528,0.379076492800598,2.55741127348643
28,0.0703,5.38,0.463,3.306e-08,90,sig_r,p,mu,nc,1,0.7,-0.1,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.3,0.9,0.2,0.113,0.3705,0.0174,0.0043,2.5,0.833139587033076,0.364222623358477,4.69635627530364
29,0.0712,6.38,0.536,2.254e-08,90,sig_r,p,mu,nc,1,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.3,0.113,0.3785,0.0379,0.005,2.5,0.763028654279462,0.369393197282754,10.0132100396301
30,0.0903,1.38,0.095,4.879e-07,90,sig_r,p,mu,nc,1,2.6,-1.9,2.6,0.0,0.0,0.0,-1.9,0.0,0.0,0.0,0.8,0.0,0.1,0.096,0.3384,0.0211,0.011,2.5,0.994945127323657,0.338249887875649,6.23522458628842
31,0.09,1.76,0.121,2.938e-07,90,sig_r,p,mu,nc,1,2.1,-1.5,2.1,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.4,0.0,0.1,0.096,0.3395,0.0107,0.0088,2.5,0.991618509687549,0.339250426009804,3.15169366715758
32,0.0898,2.47,0.169,1.524e-07,90,sig_r,p,mu,nc,1,1.5,-0.9,1.5,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.2,0.1,0.1,0.096,0.3599,0.0068,0.0066,2.5,0.982926770976509,0.359361352624831,1.88941372603501
33,0.0898,3.46,0.236,7.497e-08,90,sig_r,p,mu,nc,1,1.2,-0.6,1.2,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.3,0.2,0.1,0.096,0.3686,0.0072,0.0051,2.5,0.964566689163479,0.367455401168132,1.95333695062398
34,0.09,4.43,0.299,4.376e-08,90,sig_r,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.4,0.3,0.1,0.096,0.3739,0.01,0.0043,2.5,0.939700037651759,0.371924549927929,2.67451190157796
35,0.0903,5.44,0.366,2.626e-08,90,sig_r,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.4,0.5,0.1,0.096,0.3584,0.0155,0.004,2.5,0.903994586076049,0.355385383895476,4.32477678571429
36,0.0897,6.5,0.436,1.962e-08,90,sig_r,p,mu,nc,1,0.7,-0.1,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.5,0.7,0.2,0.096,0.402,0.0269,0.0047,2.5,0.855215116019295,0.396901244934394,6.69154228855721
37,0.1091,1.78,0.101,2.456e-07,90,sig_r,p,mu,nc,1,2.4,-1.8,2.4,0.0,0.0,0.0,-1.8,0.0,0.0,0.0,0.6,0.0,0.1,0.043,0.3453,0.0133,0.0105,2.5,0.994237300001019,0.34521780409165,3.85172313929916
38,0.1097,2.49,0.14,1.261e-07,90,sig_r,p,mu,nc,1,1.8,-1.2,1.8,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.2,0.0,0.1,0.043,0.3615,0.0082,0.0079,2.5,0.988557341556426,0.361329241504958,2.26832641770401
39,0.1099,3.48,0.193,6.254e-08,90,sig_r,p,mu,nc,1,1.4,-0.8,1.4,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.3,0.1,0.1,0.043,0.3674,0.0083,0.0058,2.5,0.977184707717106,0.367054189521277,2.2591181273816
40,0.11,4.45,0.246,3.642e-08,90,sig_r,p,mu,nc,1,1.1,-0.5,1.1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.4,0.2,0.1,0.043,0.3676,0.0104,0.0049,2.5,0.961074869291072,0.367009803018343,2.82916213275299
41,0.1105,5.44,0.298,2.263e-08,90,sig_r,p,mu,nc,1,1.0,-0.4,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.4,0.2,0.1,0.043,0.3575,0.0148,0.0039,2.5,0.940075534259866,0.356616503024657,4.13986013986014
42,0.1096,6.6,0.363,1.536e-08,90,sig_r,p,mu,nc,1,0.8,-0.2,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.6,0.3,0.1,0.043,0.374,0.0217,0.0042,2.5,0.905713241868964,0.372545888805219,5.80213903743316
43,0.1284,1.86,0.09,2.038e-07,90,sig_r,p,mu,nc,1,2.9,-2.2,2.9,0.0,0.0,0.0,-2.2,0.0,0.0,0.0,1.1,0.0,0.1,0.296,0.3673,0.0219,0.0137,2.5,0.995443845240654,0.366916731235515,5.96242853253471
44,0.1385,2.49,0.111,1.02e-07,90,sig_r,p,mu,nc,1,2.2,-1.5,2.2,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.7,0.0,0.1,0.271,0.3631,0.0071,0.0101,2.5,0.992946894261465,0.362552804593399,1.95538419168273
45,0.1398,3.48,0.154,5.055e-08,90,sig_r,p,mu,nc,1,1.6,-1.0,1.6,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.3,0.1,0.1,0.233,0.3705,0.0071,0.0068,2.5,0.985928552933968,0.369513225420443,1.91632928475034
46,0.1396,4.45,0.195,2.952e-08,90,sig_r,p,mu,nc,1,1.3,-0.7,1.3,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.2,0.1,0.1,0.201,0.3653,0.0083,0.0054,2.5,0.976597470157703,0.363867899513713,2.27210511908021
47,0.1399,5.46,0.238,1.856e-08,90,sig_r,p,mu,nc,1,1.1,-0.5,1.1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.3,0.1,0.1,0.176,0.3601,0.0115,0.0048,2.5,0.96374524884784,0.358144783853139,3.19355734518189
48,0.1409,6.69,0.289,1.228e-08,90,sig_r,p,mu,nc,1,1.0,-0.3,1.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.5,0.2,0.1,0.154,0.3768,0.0144,0.0044,2.5,0.943990289082813,0.373982129219448,3.82165605095541
49,0.1741,2.67,0.095,7.069e-08,90,sig_r,p,mu,nc,1,2.4,-1.7,2.4,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,1.2,0.0,0.1,0.246,0.363,0.0109,0.0114,2.5,0.994857804527359,0.362630254411872,3.00275482093664
50,0.1807,3.47,0.119,3.69e-08,90,sig_r,p,mu,nc,1,1.9,-1.2,1.9,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.7,0.0,0.1,0.21,0.3386,0.0081,0.0079,2.5,0.991786985608672,0.338116023029765,2.39220318960425
51,0.1802,4.46,0.152,2.393e-08,90,sig_r,p,mu,nc,1,1.5,-0.9,1.5,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.3,0.0,0.1,0.179,0.3727,0.0102,0.0066,2.5,0.986242350850071,0.371920175487131,2.73678561845989
52,0.1808,5.46,0.185,1.385e-08,90,sig_r,p,mu,nc,1,1.3,-0.6,1.3,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.1,0.1,0.1,0.155,0.3337,0.0119,0.0049,2.5,0.979034080258019,0.332759846255975,3.56607731495355
53,0.1804,6.77,0.229,9.398e-09,90,sig_r,p,mu,nc,1,1.1,-0.4,1.1,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.4,0.1,0.1,0.135,0.3616,0.0141,0.0046,2.5,0.96659466086443,0.36016188379162,3.89933628318584
54,0.1771,8.5,0.289,6.257e-09,90,sig_r,p,mu,nc,1,0.9,-0.3,0.9,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.8,0.2,0.1,0.118,0.3921,0.038,0.005,2.5,0.943846071071206,0.38977516008144,9.6914052537618
55,0.2051,2.9,0.087,4.686e-08,90,sig_r,p,mu,nc,1,2.3,-1.7,2.3,0.0,0.0,0.0,-1.7,0.0,0.0,0.0,1.0,0.0,0.1,0.223,0.3346,0.0316,0.0102,2.5,0.995677146130229,0.334335318634964,9.44411237298267
56,0.221,3.51,0.099,2.905e-08,90,sig_r,p,mu,nc,1,2.0,-1.3,2.0,0.0,0.0,0.0,-1.3,0.0,0.0,0.0,0.7,0.0,0.1,0.192,0.331,0.0088,0.0082,2.5,0.994351968238722,0.330697504433106,2.65861027190332
57,0.2262,4.47,0.122,1.675e-08,90,sig_r,p,mu,nc,1,1.6,-0.9,1.6,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.3,0.0,0.1,0.161,0.324,0.0092,0.0062,2.5,0.991284890976862,0.323607222110844,2.83950617283951
58,0.2263,5.47,0.149,1.182e-08,90,sig_r,p,mu,nc,1,1.4,-0.7,1.4,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.2,0.0,0.1,0.14,0.3498,0.0126,0.0055,2.5,0.986734824073299,0.349228765324636,3.60205831903945
59,0.228,6.81,0.184,6.709e-09,90,sig_r,p,mu,nc,1,1.1,-0.5,1.1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,0.1,0.1,0.12,0.3205,0.0125,0.0042,2.5,0.97917707929025,0.319783552635255,3.90015600624025
60,0.2215,8.64,0.236,3.93e-09,90,sig_r,p,mu,nc,1,1.0,-0.3,1.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.8,0.1,0.1,0.104,0.3062,0.0265,0.0039,2.5,0.964170170648704,0.30516566138429,8.65447419986936
61,0.2657,3.75,0.088,1.933e-08,90,sig_r,p,mu,nc,1,1.7,-1.0,1.7,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.6,0.0,0.1,0.171,0.3029,0.0147,0.0076,2.5,0.995520156767426,0.302700639439847,4.85308682733575
62,0.2736,4.47,0.102,1.312e-08,90,sig_r,p,mu,nc,1,1.5,-0.8,1.5,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,1.1,0.0,0.1,0.15,0.3045,0.0102,0.006,2.5,0.99393591986348,0.304257806368029,3.34975369458128
63,0.2758,5.44,0.122,8.664e-09,90,sig_r,p,mu,nc,1,1.3,-0.5,1.3,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.8,0.0,0.1,0.129,0.3058,0.0128,0.0048,2.5,0.991217575076466,0.305491939862749,4.18574231523872
64,0.2803,6.85,0.151,5.503e-09,90,sig_r,p,mu,nc,1,1.1,-0.3,1.1,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.9,0.0,0.1,0.109,0.32,0.0139,0.0048,2.5,0.986261706078199,0.319566550593199,4.34375
65,0.2737,8.7,0.193,3.409e-09,90,sig_r,p,mu,nc,1,0.9,-0.2,0.9,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,1.1,0.1,0.1,0.093,0.3237,0.027,0.0048,2.5,0.976799008337172,0.32306008190472,8.34105653382762
66,0.3166,4.62,0.091,1.009e-08,90,sig_r,p,mu,nc,1,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.1,0.139,0.2884,0.0123,0.0134,2.5,0.995154092722091,0.288228255656326,4.26490984743412
67,0.3397,5.46,0.1,5.961e-09,90,sig_r,p,mu,nc,1,0.6,0.1,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3.6,0.0,0.1,0.12,0.2584,0.0095,0.0094,2.5,0.994103819423845,0.258235696658374,3.67647058823529
68,0.3511,6.87,0.122,3.805e-09,90,sig_r,p,mu,nc,1,0.6,0.2,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.3,0.0,0.1,0.1,0.2759,0.0103,0.0065,2.5,0.991118344471855,0.275675938260355,3.73323667995651
69,0.345,8.73,0.156,2.028e-09,90,sig_r,p,mu,nc,1,0.5,0.3,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.1,0.0,0.1,0.085,0.2398,0.0163,0.0052,2.5,0.985163085790661,0.239520292019585,6.79733110925771
70,0.3973,5.73,0.09,3.735e-09,90,sig_r,p,mu,nc,1,-2.4,3.2,-2.4,0.0,0.0,0.0,3.2,0.0,0.0,0.0,11.0,0.0,0.1,0.111,0.2086,0.0211,0.0243,2.5,0.995183138960769,0.208498725084631,10.1150527325024
71,0.4425,6.97,0.099,2.164e-09,90,sig_r,p,mu,nc,1,-2.0,2.9,-2.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,9.1,0.0,0.1,0.093,0.2024,0.0094,0.0198,2.5,0.994116924180999,0.20229765587312,4.64426877470356
72,0.4653,8.75,0.117,1.151e-09,90,sig_r,p,mu,nc,1,-1.7,2.7,-1.7,0.0,0.0,0.0,2.7,0.0,0.0,0.0,6.8,0.0,0.1,0.078,0.1817,0.0118,0.0136,2.5,0.991703738176747,0.181590105771664,6.49422124380848
73,0.0087,1.18,0.626,3.938e-06,120,sig_r,p,mu,nc,1,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.6,0.6,0.337,0.2987,0.009,0.0082,2.5,0.656152198804133,0.272810551295786,3.01305657850686
74,0.0117,1.37,0.54,2.4e-06,120,sig_r,p,mu,nc,1,0.7,-0.2,0.0,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,1.6,1.1,0.4,0.246,0.303,0.0097,0.0062,2.5,0.759257439007033,0.288597408491156,3.2013201320132
75,0.0129,1.7,0.604,1.41e-06,120,sig_r,p,mu,nc,1,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.2,0.5,0.246,0.32,0.0071,0.0066,2.5,0.684551877434033,0.300069131458549,2.21875
76,0.0172,1.77,0.472,1.109e-06,120,sig_r,p,mu,nc,1,0.7,-0.2,0.0,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,1.2,0.7,0.4,0.19,0.3274,0.01,0.0052,2.5,0.825696752321468,0.318287710492616,3.0543677458766
77,0.0178,2.34,0.599,6.064e-07,120,sig_r,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.5,0.19,0.3519,0.0072,0.0057,2.5,0.690783884412055,0.334524845202687,2.0460358056266
78,0.0241,1.82,0.351,8.159e-07,120,sig_r,p,mu,nc,1,0.9,-0.4,0.0,0.9,0.0,0.0,0.0,-0.4,0.0,0.0,0.7,0.3,0.3,0.099,0.3219,0.0122,0.0042,2.5,0.913226978227518,0.319383454998437,3.78999689344517
79,0.0245,2.5,0.471,4.142e-07,120,sig_r,p,mu,nc,1,0.7,-0.2,0.0,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,0.8,0.5,0.4,0.099,0.344,0.0054,0.0043,2.5,0.82654130166774,0.338624132388549,1.56976744186047
80,0.026,3.36,0.59,2.17e-07,120,sig_r,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.5,0.099,0.3732,0.0077,0.0064,2.5,0.701824718588118,0.363174396230797,2.06323687031083
81,0.0348,2.51,0.332,3.497e-07,120,sig_r,p,mu,nc,1,0.9,-0.4,0.0,0.9,0.0,0.0,0.0,-0.4,0.0,0.0,0.4,0.2,0.3,0.108,0.3733,0.0094,0.0043,2.5,0.923669049122925,0.370522082035278,2.51808197160461
82,0.0348,3.48,0.458,1.686e-07,120,sig_r,p,mu,nc,1,0.7,-0.2,0.0,0.7,0.0,0.0,0.0,-0.2,0.0,0.0,0.6,0.7,0.4,0.108,0.3825,0.0076,0.0047,2.5,0.837693694789158,0.376447665789317,1.98692810457516
83,0.0354,4.41,0.568,9.558e-08,120,sig_r,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5,0.5,0.108,0.3825,0.0103,0.007,2.5,0.727893095344339,0.372353106802669,2.69281045751634
84,0.0374,5.32,0.645,6.281e-08,120,sig_r,p,mu,nc,1,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,0.108,0.4031,0.0278,0.0094,2.5,0.63026917968445,0.388569857613357,6.89655172413793
85,0.0497,2.54,0.237,2.342e-07,120,sig_r,p,mu,nc,1,1.2,-0.6,0.0,1.2,0.0,0.0,0.0,-0.6,0.0,0.0,0.2,0.1,0.2,0.117,0.3394,0.0087,0.0048,2.5,0.964389235146585,0.338133596252241,2.5633470830878
86,0.0494,3.49,0.327,1.288e-07,120,sig_r,p,mu,nc,1,0.9,-0.4,0.0,0.9,0.0,0.0,0.0,-0.4,0.0,0.0,0.2,0.3,0.3,0.117,0.3785,0.007,0.0043,2.5,0.926243867868227,0.375575058877618,1.84940554821664
87,0.0495,4.47,0.416,7.061e-08,120,sig_r,p,mu,nc,1,0.8,-0.2,0.0,0.8,0.0,0.0,0.0,-0.2,0.0,0.0,0.3,0.7,0.3,0.117,0.3681,0.0073,0.0043,2.5,0.870738914505411,0.363114883973696,1.98315675088291
88,0.0504,5.43,0.493,4.448e-08,120,sig_r,p,mu,nc,1,0.7,-0.1,0.0,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.5,1.0,0.4,0.117,0.3705,0.0099,0.005,2.5,0.806380198438344,0.362984169914642,2.67206477732794
89,0.0524,6.61,0.576,3.014e-08,120,sig_r,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2,0.5,0.117,0.4086,0.0162,0.0065,2.5,0.718446207354723,0.39654656291303,3.9647577092511
90,0.0707,2.56,0.168,1.725e-07,120,sig_r,p,mu,nc,1,1.5,-0.9,0.0,1.5,0.0,0.0,0.0,-0.9,0.0,0.0,0.3,0.1,0.2,0.113,0.3426,0.0129,0.0061,2.5,0.98321718284827,0.342015875411919,3.76532399299475
91,0.0702,3.5,0.229,9.223e-08,120,sig_r,p,mu,nc,1,1.2,-0.6,0.0,1.2,0.0,0.0,0.0,-0.6,0.0,0.0,0.3,0.2,0.2,0.113,0.3584,0.0089,0.0051,2.5,0.966960182095185,0.357197291042026,2.48325892857143
92,0.0698,4.48,0.295,5.437e-08,120,sig_r,p,mu,nc,1,1.0,-0.4,0.0,1.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.3,0.3,0.2,0.113,0.3659,0.0089,0.0043,2.5,0.941666280137634,0.363732197599038,2.43235856791473
93,0.07,5.47,0.357,3.656e-08,120,sig_r,p,mu,nc,1,0.9,-0.3,0.0,0.9,0.0,0.0,0.0,-0.3,0.0,0.0,0.3,0.4,0.3,0.113,0.3867,0.0106,0.004,2.5,0.909574603282243,0.383148753971178,2.74114300491337
94,0.07,6.86,0.448,2.175e-08,120,sig_r,p,mu,nc,1,0.7,-0.1,0.0,0.7,0.0,0.0,0.0,-0.1,0.0,0.0,0.4,0.7,0.4,0.113,0.3902,0.013,0.0047,2.5,0.845831953518447,0.384090510042892,3.33162480779088
95,0.0718,8.62,0.544,1.46e-08,120,sig_r,p,mu,nc,1,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.1,0.5,0.113,0.4555,0.0308,0.0068,2.5,0.754572135288826,0.444146267178848,6.76180021953897
96,0.0915,2.61,0.132,1.515e-07,120,sig_r,p,mu,nc,1,1.8,-1.2,0.0,1.8,0.0,0.0,0.0,-1.2,0.0,0.0,0.2,0.0,0.2,0.096,0.3948,0.0202,0.0089,2.5,0.989960021006358,0.394452484520278,5.11651469098278
97,0.0909,3.5,0.177,7.095e-08,120,sig_r,p,mu,nc,1,1.4,-0.8,0.0,1.4,0.0,0.0,0.0,-0.8,0.0,0.0,0.3,0.1,0.2,0.096,0.343,0.0109,0.0058,2.5,0.98117854742496,0.3424341823026,3.17784256559767
